,UNIQUE_CARRIER_NAME,DATE,DG_1,DG_2,DG_3,DG_4,DG_5
0,Air Wisconsin Airlines Corp,2014-01-01,0.706,0.288,0.007,0,0
1,Air Wisconsin Airlines Corp,2014-02-01,0.744,0.249,0.007,0,0
2,Air Wisconsin Airlines Corp,2014-03-01,0.721,0.272,0.007,0,0
3,Air Wisconsin Airlines Corp,2014-04-01,0.734,0.259,0.007,0,0
4,Air Wisconsin Airlines Corp,2014-05-01,0.721,0.272,0.006,0,0
5,Air Wisconsin Airlines Corp,2014-06-01,0.723,0.271,0.006,0,0
6,Air Wisconsin Airlines Corp,2014-07-01,0.743,0.247,0.01,0,0
7,Air Wisconsin Airlines Corp,2014-08-01,0.748,0.245,0.007,0,0
8,Air Wisconsin Airlines Corp,2014-09-01,0.73,0.27,0.0,0,0
9,Air Wisconsin Airlines Corp,2014-10-01,0.713,0.287,0.0,0,0
10,Air Wisconsin Airlines Corp,2014-11-01,0.691,0.309,0.0,0,0
11,Air Wisconsin Airlines Corp,2014-12-01,0.68,0.32,0.0,0,0
12,Air Wisconsin Airlines Corp,2015-01-01,0.709,0.287,0.004,0,0
13,Air Wisconsin Airlines Corp,2015-02-01,0.717,0.283,0.0,0,0
14,Air Wisconsin Airlines Corp,2015-03-01,0.715,0.285,0.0,0,0
15,Air Wisconsin Airlines Corp,2015-04-01,0.726,0.274,0.0,0,0
16,Air Wisconsin Airlines Corp,2015-05-01,0.726,0.274,0.0,0,0
17,Air Wisconsin Airlines Corp,2015-06-01,0.728,0.268,0.003,0,0
18,Air Wisconsin Airlines Corp,2015-07-01,0.718,0.282,0.0,0,0
19,Air Wisconsin Airlines Corp,2015-08-01,0.732,0.268,0.0,0,0
20,Air Wisconsin Airlines Corp,2015-09-01,0.727,0.273,0.0,0,0
21,Air Wisconsin Airlines Corp,2015-10-01,0.702,0.298,0.0,0,0
22,Air Wisconsin Airlines Corp,2015-11-01,0.678,0.322,0.0,0,0
23,Air Wisconsin Airlines Corp,2015-12-01,0.688,0.306,0.006,0,0
24,Air Wisconsin Airlines Corp,2016-01-01,0.707,0.285,0.007,0,0
25,Air Wisconsin Airlines Corp,2016-02-01,0.703,0.297,0.0,0,0
26,Air Wisconsin Airlines Corp,2016-03-01,0.701,0.299,0.0,0,0
27,Air Wisconsin Airlines Corp,2016-04-01,0.711,0.289,0.0,0,0
28,Air Wisconsin Airlines Corp,2016-05-01,0.693,0.307,0.0,0,0
29,Air Wisconsin Airlines Corp,2016-06-01,0.717,0.276,0.007,0,0
30,Air Wisconsin Airlines Corp,2016-07-01,0.713,0.28,0.007,0,0
31,Air Wisconsin Airlines Corp,2016-08-01,0.722,0.271,0.007,0,0
32,Air Wisconsin Airlines Corp,2016-09-01,0.746,0.254,0.0,0,0
33,Air Wisconsin Airlines Corp,2016-10-01,0.742,0.258,0.0,0,0
34,Air Wisconsin Airlines Corp,2016-11-01,0.706,0.294,0.0,0,0
35,Air Wisconsin Airlines Corp,2016-12-01,0.727,0.273,0.0,0,0
36,Air Wisconsin Airlines Corp,2017-01-01,0.696,0.304,0.0,0,0
37,Air Wisconsin Airlines Corp,2017-02-01,0.705,0.295,0.0,0,0
38,Air Wisconsin Airlines Corp,2017-03-01,0.734,0.266,0.0,0,0
39,Air Wisconsin Airlines Corp,2017-04-01,0.779,0.221,0.0,0,0
40,Air Wisconsin Airlines Corp,2017-05-01,0.764,0.236,0.0,0,0
