,UNIQUE_CARRIER_NAME,DATE,TOP1_DEST,TOP2_DEST,TOP3_DEST,TOP4_DEST,TOP5_DEST
0,Air Wisconsin Airlines Corp,2014-01-01,"Charlotte, NC","Philadelphia, PA","Washington, DC","Boston, MA","Allentown/Bethlehem/Easton, PA"
1,Air Wisconsin Airlines Corp,2014-02-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Boston, MA","Scranton/Wilkes-Barre, PA"
2,Air Wisconsin Airlines Corp,2014-03-01,"Philadelphia, PA","Charlotte, NC","Washington, DC","Baltimore, MD","Boston, MA"
3,Air Wisconsin Airlines Corp,2014-04-01,"Charlotte, NC","Philadelphia, PA","Washington, DC","Boston, MA","New York, NY"
4,Air Wisconsin Airlines Corp,2014-05-01,"Charlotte, NC","Philadelphia, PA","Washington, DC","Boston, MA","Greensboro/High Point, NC"
5,Air Wisconsin Airlines Corp,2014-06-01,"Washington, DC","Philadelphia, PA","Charlotte, NC","Richmond, VA","Boston, MA"
6,Air Wisconsin Airlines Corp,2014-07-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Richmond, VA","Boston, MA"
7,Air Wisconsin Airlines Corp,2014-08-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Boston, MA","Richmond, VA"
8,Air Wisconsin Airlines Corp,2014-09-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
9,Air Wisconsin Airlines Corp,2014-10-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Greensboro/High Point, NC","New York, NY"
10,Air Wisconsin Airlines Corp,2014-11-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Rochester, NY"
11,Air Wisconsin Airlines Corp,2014-12-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Pittsburgh, PA"
12,Air Wisconsin Airlines Corp,2015-01-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Norfolk, VA"
13,Air Wisconsin Airlines Corp,2015-02-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
14,Air Wisconsin Airlines Corp,2015-03-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Richmond, VA","Boston, MA"
15,Air Wisconsin Airlines Corp,2015-04-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Norfolk, VA"
16,Air Wisconsin Airlines Corp,2015-05-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Norfolk, VA","Richmond, VA"
17,Air Wisconsin Airlines Corp,2015-06-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Richmond, VA"
18,Air Wisconsin Airlines Corp,2015-07-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Richmond, VA"
19,Air Wisconsin Airlines Corp,2015-08-01,"Philadelphia, PA","Charlotte, NC","Washington, DC","New York, NY","Boston, MA"
20,Air Wisconsin Airlines Corp,2015-09-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
21,Air Wisconsin Airlines Corp,2015-10-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Norfolk, VA","Boston, MA"
22,Air Wisconsin Airlines Corp,2015-11-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
23,Air Wisconsin Airlines Corp,2015-12-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Baltimore, MD"
24,Air Wisconsin Airlines Corp,2016-01-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
25,Air Wisconsin Airlines Corp,2016-02-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Pittsburgh, PA"
26,Air Wisconsin Airlines Corp,2016-03-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Pittsburgh, PA"
27,Air Wisconsin Airlines Corp,2016-04-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Allentown/Bethlehem/Easton, PA"
28,Air Wisconsin Airlines Corp,2016-05-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
29,Air Wisconsin Airlines Corp,2016-06-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Norfolk, VA"
30,Air Wisconsin Airlines Corp,2016-07-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Norfolk, VA"
31,Air Wisconsin Airlines Corp,2016-08-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Norfolk, VA"
32,Air Wisconsin Airlines Corp,2016-09-01,"Washington, DC","Philadelphia, PA","Charlotte, NC","New York, NY","Bangor, ME"
33,Air Wisconsin Airlines Corp,2016-10-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Boston, MA"
34,Air Wisconsin Airlines Corp,2016-11-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Pittsburgh, PA"
35,Air Wisconsin Airlines Corp,2016-12-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","New York, NY","Richmond, VA"
36,Air Wisconsin Airlines Corp,2017-01-01,"Washington, DC","Philadelphia, PA","Charlotte, NC","New York, NY","Pittsburgh, PA"
37,Air Wisconsin Airlines Corp,2017-02-01,"Washington, DC","Philadelphia, PA","Charlotte, NC","New York, NY","Boston, MA"
38,Air Wisconsin Airlines Corp,2017-03-01,"Washington, DC","Philadelphia, PA","Charlotte, NC","Syracuse, NY","Boston, MA"
39,Air Wisconsin Airlines Corp,2017-04-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Boston, MA","Greensboro/High Point, NC"
40,Air Wisconsin Airlines Corp,2017-05-01,"Philadelphia, PA","Charlotte, NC","Washington, DC","Boston, MA","Norfolk, VA"
41,Air Wisconsin Airlines Corp,2017-06-01,"Philadelphia, PA","Charlotte, NC","Washington, DC","Boston, MA","Norfolk, VA"
42,Air Wisconsin Airlines Corp,2017-07-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Baltimore, MD","Boston, MA"
43,Air Wisconsin Airlines Corp,2017-08-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Norfolk, VA","Pittsburgh, PA"
44,Air Wisconsin Airlines Corp,2017-09-01,"Philadelphia, PA","Washington, DC","Charlotte, NC","Norfolk, VA","Columbia, SC"
45,Air Wisconsin Airlines Corp,2017-10-01,"Philadelphia, PA","Washington, DC","Chicago, IL","Charlotte, NC","Norfolk, VA"
46,Air Wisconsin Airlines Corp,2017-11-01,"Washington, DC","Chicago, IL","Philadelphia, PA","Charlotte, NC","Norfolk, VA"
47,Air Wisconsin Airlines Corp,2017-12-01,"Chicago, IL","Washington, DC","Philadelphia, PA","Charlotte, NC","Columbia, SC"
48,Air Wisconsin Airlines Corp,2018-01-01,"Chicago, IL","Washington, DC","Philadelphia, PA","Charlotte, NC","Columbia, SC"
49,Air Wisconsin Airlines Corp,2018-02-01,"Chicago, IL","Washington, DC","Philadelphia, PA","Milwaukee, WI","Charleston, SC"
50,Air Wisconsin Airlines Corp,2018-03-01,"Chicago, IL","Washington, DC","Richmond, VA","Buffalo, NY","Charleston, SC"
51,Air Wisconsin Airlines Corp,2018-04-01,"Chicago, IL","Washington, DC","Baltimore, MD","Richmond, VA","Grand Rapids, MI"
52,Air Wisconsin Airlines Corp,2018-05-01,"Chicago, IL","Washington, DC","Dayton, OH","Indianapolis, IN","Appleton, WI"
53,Air Wisconsin Airlines Corp,2018-06-01,"Chicago, IL","Washington, DC","Dayton, OH","Kalamazoo, MI","Appleton, WI"
54,Air Wisconsin Airlines Corp,2018-07-01,"Chicago, IL","Washington, DC","Appleton, WI","Richmond, VA","Burlington, VT"
55,Air Wisconsin Airlines Corp,2018-08-01,"Chicago, IL","Washington, DC","Indianapolis, IN","South Bend, IN","Denver, CO"
56,Air Wisconsin Airlines Corp,2018-09-01,"Chicago, IL","Washington, DC","Dayton, OH","Indianapolis, IN","South Bend, IN"
57,Air Wisconsin Airlines Corp,2018-10-01,"Chicago, IL","Washington, DC","Appleton, WI","Dayton, OH","Denver, CO"
58,Air Wisconsin Airlines Corp,2018-11-01,"Chicago, IL","Washington, DC","Charleston/Dunbar, WV","Charlottesville, VA","Dayton, OH"
59,Air Wisconsin Airlines Corp,2018-12-01,"Chicago, IL","Washington, DC","Denver, CO","Milwaukee, WI","Appleton, WI"
60,Air Wisconsin Airlines Corp,2019-01-01,"Chicago, IL","Washington, DC","Milwaukee, WI","Dayton, OH","Columbia, SC"
61,Air Wisconsin Airlines Corp,2019-02-01,"Chicago, IL","Washington, DC","Denver, CO","St. Louis, MO","Albany, NY"
62,Air Wisconsin Airlines Corp,2019-03-01,"Chicago, IL","Washington, DC","Denver, CO","Dayton, OH","Albany, NY"
63,Air Wisconsin Airlines Corp,2019-04-01,"Chicago, IL","Washington, DC","Denver, CO","Indianapolis, IN","Charlottesville, VA"
64,Air Wisconsin Airlines Corp,2019-05-01,"Chicago, IL","Washington, DC","Denver, CO","South Bend, IN","Harrisburg, PA"
65,Air Wisconsin Airlines Corp,2019-06-01,"Chicago, IL","Washington, DC","Denver, CO","Milwaukee, WI","South Bend, IN"
66,Air Wisconsin Airlines Corp,2019-07-01,"Chicago, IL","Washington, DC","South Bend, IN","Denver, CO","Peoria, IL"
67,Air Wisconsin Airlines Corp,2019-08-01,"Chicago, IL","Washington, DC","Indianapolis, IN","Dayton, OH","Denver, CO"
68,Air Wisconsin Airlines Corp,2019-09-01,"Chicago, IL","Washington, DC","Indianapolis, IN","Appleton, WI","Buffalo, NY"
69,Air Wisconsin Airlines Corp,2019-10-01,"Chicago, IL","Washington, DC","Denver, CO","Knoxville, TN","St. Louis, MO"
70,Air Wisconsin Airlines Corp,2019-11-01,"Chicago, IL","Washington, DC","Appleton, WI","Denver, CO","Charlottesville, VA"
71,Air Wisconsin Airlines Corp,2019-12-01,"Chicago, IL","Washington, DC","Denver, CO","St. Louis, MO","Albany, NY"
72,Alaska Airlines Inc.,2014-01-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","San Diego, CA"
73,Alaska Airlines Inc.,2014-02-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
74,Alaska Airlines Inc.,2014-03-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
75,Alaska Airlines Inc.,2014-04-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","San Diego, CA"
76,Alaska Airlines Inc.,2014-05-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","San Diego, CA"
77,Alaska Airlines Inc.,2014-06-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
78,Alaska Airlines Inc.,2014-07-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","Salt Lake City, UT"
79,Alaska Airlines Inc.,2014-08-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
80,Alaska Airlines Inc.,2014-09-01,"Seattle, WA","Portland, OR","Anchorage, AK","Salt Lake City, UT","Juneau, AK"
81,Alaska Airlines Inc.,2014-10-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
82,Alaska Airlines Inc.,2014-11-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","Salt Lake City, UT"
83,Alaska Airlines Inc.,2014-12-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
84,Alaska Airlines Inc.,2015-01-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
85,Alaska Airlines Inc.,2015-02-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
86,Alaska Airlines Inc.,2015-03-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
87,Alaska Airlines Inc.,2015-04-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
88,Alaska Airlines Inc.,2015-05-01,"Seattle, WA","Anchorage, AK","Portland, OR","Salt Lake City, UT","San Diego, CA"
89,Alaska Airlines Inc.,2015-06-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
90,Alaska Airlines Inc.,2015-07-01,"Seattle, WA","Anchorage, AK","Portland, OR","Juneau, AK","San Diego, CA"
91,Alaska Airlines Inc.,2015-08-01,"Seattle, WA","Portland, OR","Anchorage, AK","Los Angeles, CA","Salt Lake City, UT"
92,Alaska Airlines Inc.,2015-09-01,"Seattle, WA","Portland, OR","Anchorage, AK","Los Angeles, CA","Salt Lake City, UT"
93,Alaska Airlines Inc.,2015-10-01,"Seattle, WA","Portland, OR","Anchorage, AK","Los Angeles, CA","Salt Lake City, UT"
94,Alaska Airlines Inc.,2015-11-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Los Angeles, CA"
95,Alaska Airlines Inc.,2015-12-01,"Seattle, WA","Portland, OR","Anchorage, AK","Los Angeles, CA","San Diego, CA"
96,Alaska Airlines Inc.,2016-01-01,"Seattle, WA","Portland, OR","Anchorage, AK","Los Angeles, CA","Salt Lake City, UT"
97,Alaska Airlines Inc.,2016-02-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Los Angeles, CA"
