,UNIQUE_CARRIER_NAME,DATE,TOP1_DEST,TOP_1_DEST_FQ
0,Air Wisconsin Airlines Corp,2014-01-01,"Charlotte, NC",0.16387959866220736
1,Air Wisconsin Airlines Corp,2014-02-01,"Philadelphia, PA",0.16370106761565836
2,Air Wisconsin Airlines Corp,2014-03-01,"Philadelphia, PA",0.1644295302013423
3,Air Wisconsin Airlines Corp,2014-04-01,"Charlotte, NC",0.16393442622950818
4,Air Wisconsin Airlines Corp,2014-05-01,"Charlotte, NC",0.1609907120743034
5,Air Wisconsin Airlines Corp,2014-06-01,"Washington, DC",0.15806451612903225
6,Air Wisconsin Airlines Corp,2014-07-01,"Philadelphia, PA",0.16216216216216217
7,Air Wisconsin Airlines Corp,2014-08-01,"Philadelphia, PA",0.17153284671532848
8,Air Wisconsin Airlines Corp,2014-09-01,"Philadelphia, PA",0.17625899280575538
9,Air Wisconsin Airlines Corp,2014-10-01,"Philadelphia, PA",0.19402985074626866
10,Air Wisconsin Airlines Corp,2014-11-01,"Philadelphia, PA",0.18867924528301888
11,Air Wisconsin Airlines Corp,2014-12-01,"Philadelphia, PA",0.16728624535315986
12,Air Wisconsin Airlines Corp,2015-01-01,"Philadelphia, PA",0.16666666666666666
13,Air Wisconsin Airlines Corp,2015-02-01,"Philadelphia, PA",0.18725099601593626
14,Air Wisconsin Airlines Corp,2015-03-01,"Philadelphia, PA",0.16549295774647887
15,Air Wisconsin Airlines Corp,2015-04-01,"Philadelphia, PA",0.17437722419928825
16,Air Wisconsin Airlines Corp,2015-05-01,"Philadelphia, PA",0.18149466192170818
17,Air Wisconsin Airlines Corp,2015-06-01,"Philadelphia, PA",0.17252396166134185
18,Air Wisconsin Airlines Corp,2015-07-01,"Philadelphia, PA",0.15737704918032788
19,Air Wisconsin Airlines Corp,2015-08-01,"Philadelphia, PA",0.15894039735099338
20,Air Wisconsin Airlines Corp,2015-09-01,"Philadelphia, PA",0.16783216783216784
21,Air Wisconsin Airlines Corp,2015-10-01,"Philadelphia, PA",0.17735849056603772
22,Air Wisconsin Airlines Corp,2015-11-01,"Philadelphia, PA",0.18007662835249041
23,Air Wisconsin Airlines Corp,2015-12-01,"Philadelphia, PA",0.16358024691358025
24,Air Wisconsin Airlines Corp,2016-01-01,"Philadelphia, PA",0.18518518518518517
25,Air Wisconsin Airlines Corp,2016-02-01,"Philadelphia, PA",0.18631178707224336
26,Air Wisconsin Airlines Corp,2016-03-01,"Philadelphia, PA",0.18672199170124482
27,Air Wisconsin Airlines Corp,2016-04-01,"Philadelphia, PA",0.1814814814814815
28,Air Wisconsin Airlines Corp,2016-05-01,"Philadelphia, PA",0.18007662835249041
29,Air Wisconsin Airlines Corp,2016-06-01,"Philadelphia, PA",0.16911764705882354
30,Air Wisconsin Airlines Corp,2016-07-01,"Philadelphia, PA",0.16433566433566432
31,Air Wisconsin Airlines Corp,2016-08-01,"Philadelphia, PA",0.1794871794871795
32,Air Wisconsin Airlines Corp,2016-09-01,"Washington, DC",0.171875
33,Air Wisconsin Airlines Corp,2016-10-01,"Philadelphia, PA",0.17307692307692307
34,Air Wisconsin Airlines Corp,2016-11-01,"Philadelphia, PA",0.1717557251908397
35,Air Wisconsin Airlines Corp,2016-12-01,"Philadelphia, PA",0.1576923076923077
36,Air Wisconsin Airlines Corp,2017-01-01,"Washington, DC",0.1556420233463035
37,Air Wisconsin Airlines Corp,2017-02-01,"Washington, DC",0.17972350230414746
38,Air Wisconsin Airlines Corp,2017-03-01,"Washington, DC",0.203125
39,Air Wisconsin Airlines Corp,2017-04-01,"Philadelphia, PA",0.17587939698492464
40,Air Wisconsin Airlines Corp,2017-05-01,"Philadelphia, PA",0.20114942528735633
41,Air Wisconsin Airlines Corp,2017-06-01,"Philadelphia, PA",0.1871345029239766
42,Air Wisconsin Airlines Corp,2017-07-01,"Philadelphia, PA",0.20987654320987653
43,Air Wisconsin Airlines Corp,2017-08-01,"Philadelphia, PA",0.21428571428571427
44,Air Wisconsin Airlines Corp,2017-09-01,"Philadelphia, PA",0.21739130434782608
45,Air Wisconsin Airlines Corp,2017-10-01,"Philadelphia, PA",0.1507537688442211
46,Air Wisconsin Airlines Corp,2017-11-01,"Washington, DC",0.1574468085106383
47,Air Wisconsin Airlines Corp,2017-12-01,"Chicago, IL",0.19298245614035087
48,Air Wisconsin Airlines Corp,2018-01-01,"Chicago, IL",0.2315270935960591
49,Air Wisconsin Airlines Corp,2018-02-01,"Chicago, IL",0.2765957446808511
50,Air Wisconsin Airlines Corp,2018-03-01,"Chicago, IL",0.32954545454545453
51,Air Wisconsin Airlines Corp,2018-04-01,"Chicago, IL",0.30917874396135264
52,Air Wisconsin Airlines Corp,2018-05-01,"Chicago, IL",0.27472527472527475
53,Air Wisconsin Airlines Corp,2018-06-01,"Chicago, IL",0.3125
54,Air Wisconsin Airlines Corp,2018-07-01,"Chicago, IL",0.3502824858757062
